id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,candidate,tweet_without_stopwords,Subjectivity,Polarity,Analysis
1615489043210300000.00,1615283306399940000.00,1673997576000.00,1/18/2023 0:19,100,,abeg make someone post peter obi amp bola tinubu alumi picture abeg i wan see something,en,[],[],105445407.00,105445407.00,justimi,Chap's💯,3,0,https://twitter.com/justimi/status/1615489043210305537,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,"[{'screen_name': 'Oolusegun_obj', 'name': 'Olusegun Aremu Obasanjo', 'id': '1176534912343715841'}]",,,,,Bola Ahmed Tinubu,abeg make someone post peter obi amp bola tinubu alumi picture abeg wan see something,0.15,-0.2,Negative
1615488398126360000.00,1615488398126360000.00,1673997423000.00,1/18/2023 0:17,100,,election tinubu will revamp nigeria health sector pcc  thenewsguru   election tinubu will revamp nigeria health sector pcc utebor paul  bola tinubu to revamp nigeria health sector if elected,en,[],[],1051513442035780000.00,1051513442035780000.00,NigeriaVotes_ng,NigeriaVotes.ng,3,0,https://twitter.com/NigeriaVotes_ng/status/1615488398126366720,['https://thenewsguru.com/nigeria-news/2023-election-tinubu-will-revamp-nigerias-health-sector-pcc/'],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,election tinubu revamp nigeria health sector pcc thenewsguru election tinubu revamp nigeria health sector pcc utebor paul bola tinubu revamp nigeria health sector elected,0,0,Neutral
1615488376060370000.00,1615307805463900000.00,1673997417000.00,1/18/2023 0:16,100,,pls sir how old is bola ahmed tinubu pls what primary and secondary did he attend pls sir was he a drug lord this questions are yet to be answered pls we need clearity,en,[],[],1612894767184070000.00,1612894767184070000.00,okhai_senat,Joshua Okhai,3,0,https://twitter.com/okhai_senat/status/1615488376060379138,[],[],0,,FALSE,0,0,0,,Bola Tinubu OR \ BAT,,,,,,,"[{'screen_name': 'fkeyamo', 'name': 'Festus Keyamo, SAN', 'id': '996143635'}]",,,,,Bola Ahmed Tinubu,pls sir old bola ahmed tinubu pls primary secondary attend pls sir drug lord questions yet answered pls need clearity,0.333333333,0.066666667,Positive
1615488239401570000.00,1615488239401570000.00,1673997385000.00,1/18/2023 0:16,100,,breaking  reports  festus keyamo the minister of state labour and employment and a director in the all progressives congress apc presidential campaign council pcc for bola tinubu has announced that he has submitted petitions to several law enforcement agencies,en,['bnnnigeria'],[],14372104.00,14372104.00,gchahal,Gurbaksh Singh Chahal,3,0,https://twitter.com/gchahal/status/1615488239401570305,[],['https://pbs.twimg.com/media/Fmtd7yZaUAA3OR9.jpg'],1,https://pbs.twimg.com/media/Fmtd7yZaUAA3OR9.jpg,FALSE,29,1,18,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,breaking reports festus keyamo minister state labour employment director progressives congress apc presidential campaign council pcc bola tinubu announced submitted petitions several law enforcement agencies,0,0,Neutral
1615487961809950000.00,1615381696790270000.00,1673997319000.00,1/18/2023 0:15,100,,the only competent capable with capacity in the coming election is asiwaju bola ahmed tinubu without any case of corruption and better track records as former governor of lagos state and next person is kwankwaso,en,[],[],893985841537835000.00,893985841537835000.00,Olatoyan2,Oluwafemi,3,0,https://twitter.com/Olatoyan2/status/1615487961809956865,[],[],0,,FALSE,1,1,0,,Bola Tinubu OR \ BAT,,,,,,,"[{'screen_name': 'ArilContractors', 'name': 'Mr Fred', 'id': '1264512941543559169'}, {'screen_name': 'MuchTalksBlog1', 'name': 'Chinaza #PeterObi-HypeMan Ⓜ️', 'id': '1284638361689489408'}, {'screen_name': 'Nkemchor_', 'name': 'NKEM #PeterObi2023\uea00', 'id': '1320715998798950413'}, {'screen_name': 'Neo_officiall', 'name': 'Neo_officiall', 'id': '809971141754372096'}, {'screen_name': 'itzz_blitz1', 'name': ""Peter Obi's Feminine Voice"", 'id': '759349750030299136'}, {'screen_name': 'IkukuomaC', 'name': 'Chief Ikukuoma', 'id': '1335301540463206400'}, {'screen_name': 'DocOmeiza', 'name': 'Illustrious Omeiza™ MD MPH𓃵 ♤♤♡♤♤', 'id': '1265101873029222400'}, {'screen_name': 'chude__', 'name': 'Chudé', 'id': '910572372410949632'}, {'screen_name': 'balamiisaac', 'name': 'Balami Isaac', 'id': '142393121'}, {'screen_name': '_weyimi', 'name': 'Weyimi B. Lube 𓃵', 'id': '902056550747054080'}, {'screen_name': 'urchilla01', 'name': 'KWEKU THE HUSTLER, FOCUSED ON SELLING PETER OBI', 'id': '1154386896019214337'}, {'screen_name': 'SavvyRinu', 'name': 'Rinu Oduala 🔥🔫', 'id': '991043283534139392'}]",,,,,Bola Ahmed Tinubu,competent capable capacity coming election asiwaju bola ahmed tinubu without case corruption better track records former governor lagos state next person kwankwaso,0.313333333,0.24,Positive
1615487242109170000.00,1615487242109170000.00,1673997147000.00,1/18/2023 0:12,100,,asiwaju bola ahmed tinubu is your next president  know this and know peace,en,[],[],1481938404191440000.00,1481938404191440000.00,1_yahya_,Yahya Abba 🇳🇬,3,0,https://twitter.com/1_yahya_/status/1615487242109173762,[],[],0,,FALSE,0,0,0,https://twitter.com/thenationnews/status/1615341744157233153,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,asiwaju bola ahmed tinubu next president know know peace,0,0,Neutral
1615484116056560000.00,1615484114810840000.00,1673996402000.00,1/18/2023 0:00,100,,the spokesman for the all progressives congress apc presidential campaign council festus keyamo on tuesday dismissed the claim of an alliance between the partys presidential candidate asiwaju bola ahmed tinubu a whistleblower michael achimugu achimugu who reportedly,en,[],[],1406306368534070000.00,1406306368534070000.00,closefeed_bot,Closefeed bot,3,0,https://twitter.com/closefeed_bot/status/1615484116056563714,[],[],0,,FALSE,0,1,0,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,spokesman progressives congress apc presidential campaign council festus keyamo tuesday dismissed claim alliance partys presidential candidate asiwaju bola ahmed tinubu whistleblower michael achimugu achimugu reportedly,0,0,Neutral
1615483983281750000.00,1615242645479080000.00,1673996370000.00,1/17/2023 23:59,100,,to settle this matter once and for all time where are bola tinubu certificates   why are you people too complicated   if it is a problem to present simple things now what will happen with difficult ones,en,[],[],202567985.00,202567985.00,kpuraAraba,Araba Kpura,2,23,https://twitter.com/kpuraAraba/status/1615483983281750019,[],[],0,,FALSE,3,0,0,,Bola Tinubu OR \ BAT,,,,,,,"[{'screen_name': 'TtifeB', 'name': 'BoluTife Amoda Ogunlere', 'id': '2817199388'}]",,,,,Bola Ahmed Tinubu,settle matter time bola tinubu certificates people complicated problem present simple things happen difficult ones,0.589285714,-0.25,Negative
1615483210867080000.00,1615483210867080000.00,1673996186000.00,1/17/2023 23:56,100,,thousand people joined live to watch mr peter obi chatham house interview  something the never happened with bola amoda escobat tinubu,en,[],[],1335301540463200000.00,1335301540463200000.00,IkukuomaC,Chief Ikukuoma,2,23,https://twitter.com/IkukuomaC/status/1615483210867085315,[],[],0,,FALSE,105,1,41,,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,thousand people joined live watch mr peter obi chatham house interview something never happened bola amoda escobat tinubu,0.5,0.136363636,Positive
1615483207327130000.00,1615483207327130000.00,1673996185000.00,1/17/2023 23:56,100,,the comments under this tweet kai simple question people turned it to politics all because she made a comment saying she likes bola tinubu  you people arent just gonna learn you just want k force your less than average candidate down everyone throat itll end in tears,en,[],[],1049994799.00,1049994799.00,AbassAdesola,Three As and O ~ 🇳🇬,2,23,https://twitter.com/AbassAdesola/status/1615483207327137794,[],[],0,,FALSE,0,0,0,https://twitter.com/primevideonaija/status/1612812671287545859,Bola Tinubu OR \ BAT,,,,,,,[],,,,,Bola Ahmed Tinubu,comments tweet kai simple question people turned politics made comment saying likes bola tinubu people arent gonna learn want k force less average candidate everyone throat itll end tears,0.274603175,-0.105555556,Negative
